2026-02-06 21:35:12 [INFO] src.database: Database initialized at encounters.db
2026-02-06 21:35:12 [INFO] __main__: Starting AIS encounter collector...
2026-02-06 21:35:12 [INFO] __main__: Press Ctrl+C to stop.
2026-02-06 21:35:12 [INFO] src.ais_client: Connecting to AISStream.io...
2026-02-06 21:35:12 [INFO] src.ais_client: Subscribed. Streaming AIS data...
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 235052106 <-> 235056993 (dist: 4399 m, type: overtaking, CPA: 1629 m)
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 244780387 <-> 305943000 (dist: 2511 m, type: crossing, CPA: 2161 m)
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 218029040 <-> 244780387 (dist: 3796 m, type: crossing, CPA: 3503 m)
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 259210000 <-> 636023270 (dist: 1529 m, type: overtaking, CPA: 605 m)
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 235052106 <-> 235112742 (dist: 2751 m, type: overtaking, CPA: 1333 m)
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 211667590 <-> 305943000 (dist: 1266 m, type: overtaking, CPA: 1262 m)
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 211667590 <-> 218029040 (dist: 4967 m, type: head-on, CPA: 1348 m)
2026-02-06 21:35:14 [INFO] src.encounter_detector: Encounter STARTED: 211667590 <-> 244780387 (dist: 1313 m, type: overtaking, CPA: 669 m)
2026-02-06 21:35:15 [INFO] src.encounter_detector: Encounter STARTED: 253242357 <-> 255806462 (dist: 1482 m, type: overtaking, CPA: 937 m)
2026-02-06 21:35:15 [INFO] src.encounter_detector: Encounter STARTED: 244790899 <-> 255806462 (dist: 586 m, type: crossing, CPA: 74 m)
2026-02-06 21:35:15 [INFO] src.encounter_detector: Encounter STARTED: 244790899 <-> 253242357 (dist: 918 m, type: crossing, CPA: 23 m)
2026-02-06 21:35:15 [INFO] src.encounter_detector: Encounter STARTED: 244700710 <-> 244710390 (dist: 4987 m, type: crossing, CPA: 3982 m)
2026-02-06 21:35:15 [INFO] src.encounter_detector: Encounter STARTED: 235056993 <-> 235092958 (dist: 4262 m, type: overtaking, CPA: 1439 m)
2026-02-06 21:35:15 [INFO] src.encounter_detector: Encounter STARTED: 235052106 <-> 235092958 (dist: 142 m, type: overtaking, CPA: 139 m)
2026-02-06 21:35:15 [INFO] src.encounter_detector: Encounter STARTED: 235092958 <-> 235112742 (dist: 2890 m, type: overtaking, CPA: 700 m)
2026-02-06 21:35:16 [INFO] src.encounter_detector: Encounter STARTED: 244730196 <-> 311034400 (dist: 3739 m, type: overtaking, CPA: 1795 m)
2026-02-06 21:35:16 [INFO] src.encounter_detector: Encounter STARTED: 244189997 <-> 244740887 (dist: 3334 m, type: overtaking, CPA: 124 m)
2026-02-06 21:35:16 [INFO] src.encounter_detector: Encounter STARTED: 244660097 <-> 244730861 (dist: 1653 m, type: overtaking, CPA: 65 m)
2026-02-06 21:35:16 [INFO] src.encounter_detector: Encounter STARTED: 244670011 <-> 244870287 (dist: 3568 m, type: crossing, CPA: 3533 m)
2026-02-06 21:35:16 [INFO] src.encounter_detector: Encounter STARTED: 211439370 <-> 244670011 (dist: 5476 m, type: crossing, CPA: 928 m)
2026-02-06 21:35:16 [INFO] src.encounter_detector: Encounter STARTED: 209850000 <-> 244730153 (dist: 4086 m, type: overtaking, CPA: 4085 m)
2026-02-06 21:35:16 [INFO] src.encounter_detector: Encounter STARTED: 209850000 <-> 244780939 (dist: 3069 m, type: overtaking, CPA: 1323 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 205271390 <-> 244660606 (dist: 3365 m, type: crossing, CPA: 262 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 235052106 <-> 235056986 (dist: 1606 m, type: crossing, CPA: 597 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 235056986 <-> 235112742 (dist: 1146 m, type: crossing, CPA: 443 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 235056986 <-> 235092958 (dist: 1745 m, type: head-on, CPA: 915 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 211544850 <-> 244730861 (dist: 4545 m, type: overtaking, CPA: 1054 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 211439370 <-> 211544850 (dist: 3805 m, type: crossing, CPA: 530 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 211544850 <-> 244660097 (dist: 3027 m, type: overtaking, CPA: 975 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 311034400 <-> 636013376 (dist: 5270 m, type: head-on, CPA: 553 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 244780939 <-> 636013376 (dist: 799 m, type: overtaking, CPA: 202 m)
2026-02-06 21:35:17 [INFO] src.encounter_detector: Encounter STARTED: 209850000 <-> 636013376 (dist: 3865 m, type: overtaking, CPA: 8 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 244670803 <-> 244729089 (dist: 4747 m, type: overtaking, CPA: 4562 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 212368000 <-> 244370000 (dist: 4562 m, type: overtaking, CPA: 4464 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 210620000 <-> 211290200 (dist: 420 m, type: overtaking, CPA: 418 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 209696000 <-> 244370000 (dist: 4261 m, type: crossing, CPA: 3734 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 209696000 <-> 212368000 (dist: 2572 m, type: overtaking, CPA: 663 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 244182413 <-> 244236663 (dist: 2970 m, type: crossing, CPA: 2757 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 244660017 <-> 244660401 (dist: 296 m, type: head-on, CPA: 20 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 244730153 <-> 244780380 (dist: 2046 m, type: overtaking, CPA: 991 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 209696000 <-> 244780380 (dist: 5320 m, type: overtaking, CPA: 4060 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 211821950 <-> 244804936 (dist: 2336 m, type: overtaking, CPA: 2099 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 205556190 <-> 244620875 (dist: 5036 m, type: crossing, CPA: 3594 m)
2026-02-06 21:35:18 [INFO] src.encounter_detector: Encounter STARTED: 232003503 <-> 232060256 (dist: 324 m, type: crossing, CPA: 207 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 210620000 <-> 212584000 (dist: 2192 m, type: crossing, CPA: 237 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 211533730 <-> 212584000 (dist: 4451 m, type: crossing, CPA: 319 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 211290200 <-> 212584000 (dist: 1829 m, type: crossing, CPA: 362 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 211618190 <-> 244236663 (dist: 4697 m, type: overtaking, CPA: 4392 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 211618190 <-> 244182413 (dist: 5344 m, type: crossing, CPA: 2402 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 211618190 <-> 244740865 (dist: 1096 m, type: crossing, CPA: 789 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244184211 <-> 244660606 (dist: 3769 m, type: overtaking, CPA: 1188 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 205477390 <-> 244184211 (dist: 4776 m, type: overtaking, CPA: 4757 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 205556190 <-> 247091500 (dist: 4152 m, type: crossing, CPA: 3388 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 308688000 <-> 352004369 (dist: 3181 m, type: overtaking, CPA: 367 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 205271390 <-> 244700148 (dist: 3780 m, type: overtaking, CPA: 1151 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244660606 <-> 244700148 (dist: 436 m, type: crossing, CPA: 79 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244184211 <-> 244700148 (dist: 3344 m, type: crossing, CPA: 860 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244001504 <-> 244650759 (dist: 1652 m, type: overtaking, CPA: 1588 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244650834 <-> 244729089 (dist: 4975 m, type: crossing, CPA: 3692 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244650834 <-> 244670803 (dist: 376 m, type: crossing, CPA: 76 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244000826 <-> 244710260 (dist: 4391 m, type: overtaking, CPA: 3289 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 205546090 <-> 253242385 (dist: 1152 m, type: head-on, CPA: 211 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244730153 <-> 311001027 (dist: 2164 m, type: overtaking, CPA: 1568 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 209696000 <-> 311001027 (dist: 4678 m, type: overtaking, CPA: 1450 m)
2026-02-06 21:35:19 [INFO] src.encounter_detector: Encounter STARTED: 244780380 <-> 311001027 (dist: 3281 m, type: overtaking, CPA: 3106 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244184488 <-> 244236663 (dist: 2973 m, type: crossing, CPA: 905 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 211618190 <-> 244184488 (dist: 4995 m, type: crossing, CPA: 4997 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 210594000 <-> 255916070 (dist: 2568 m, type: overtaking, CPA: 1688 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244236663 <-> 244717092 (dist: 751 m, type: crossing, CPA: 436 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244182413 <-> 244717092 (dist: 3418 m, type: crossing, CPA: 3170 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244717092 <-> 244740865 (dist: 5175 m, type: overtaking, CPA: 643 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 211618190 <-> 244717092 (dist: 4112 m, type: crossing, CPA: 4046 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244184488 <-> 244717092 (dist: 2465 m, type: overtaking, CPA: 2214 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244189997 <-> 244690836 (dist: 4099 m, type: overtaking, CPA: 2624 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244690836 <-> 244740887 (dist: 1290 m, type: overtaking, CPA: 744 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244690685 <-> 244780939 (dist: 2027 m, type: head-on, CPA: 1803 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 209850000 <-> 244690685 (dist: 2468 m, type: crossing, CPA: 1388 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244690685 <-> 636013376 (dist: 2628 m, type: crossing, CPA: 2001 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 352006408 <-> 636018869 (dist: 1112 m, type: overtaking, CPA: 532 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244700940 <-> 244870461 (dist: 4353 m, type: crossing, CPA: 3773 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 211455300 <-> 244729089 (dist: 5520 m, type: overtaking, CPA: 2963 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244370000 <-> 244757000 (dist: 337 m, type: crossing, CPA: 297 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 212368000 <-> 244757000 (dist: 4619 m, type: crossing, CPA: 4249 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 209696000 <-> 244757000 (dist: 4124 m, type: crossing, CPA: 3909 m)
2026-02-06 21:35:20 [INFO] src.encounter_detector: Encounter STARTED: 244660400 <-> 244750822 (dist: 3921 m, type: head-on, CPA: 129 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 205319790 <-> 244700769 (dist: 255 m, type: head-on, CPA: 64 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 235053514 <-> 235112742 (dist: 4159 m, type: head-on, CPA: 2942 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 235053514 <-> 235056986 (dist: 4788 m, type: overtaking, CPA: 4075 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 205588890 <-> 244850087 (dist: 2819 m, type: crossing, CPA: 894 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244373489 <-> 244650759 (dist: 2101 m, type: crossing, CPA: 164 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244001504 <-> 244373489 (dist: 455 m, type: head-on, CPA: 94 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 211437770 <-> 305943000 (dist: 505 m, type: crossing, CPA: 475 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 211437770 <-> 244780387 (dist: 2976 m, type: overtaking, CPA: 2132 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 211437770 <-> 211667590 (dist: 1690 m, type: crossing, CPA: 78 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244010644 <-> 244870287 (dist: 1762 m, type: overtaking, CPA: 374 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244010644 <-> 244670011 (dist: 2846 m, type: overtaking, CPA: 1695 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 211439370 <-> 244690453 (dist: 2966 m, type: crossing, CPA: 17 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244670011 <-> 244690453 (dist: 2527 m, type: overtaking, CPA: 1910 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244010644 <-> 244690453 (dist: 5369 m, type: overtaking, CPA: 2595 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244730153 <-> 255915891 (dist: 2232 m, type: crossing, CPA: 1987 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 209696000 <-> 255915891 (dist: 4817 m, type: head-on, CPA: 573 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 244780380 <-> 255915891 (dist: 3446 m, type: crossing, CPA: 3394 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 255915891 <-> 311001027 (dist: 200 m, type: head-on, CPA: 162 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 241731000 <-> 255806352 (dist: 3924 m, type: overtaking, CPA: 2566 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 245176000 <-> 255806476 (dist: 4465 m, type: overtaking, CPA: 4241 m)
2026-02-06 21:35:21 [INFO] src.encounter_detector: Encounter STARTED: 232015629 <-> 232064480 (dist: 2687 m, type: overtaking, CPA: 2685 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244022677 <-> 244710260 (dist: 3904 m, type: overtaking, CPA: 960 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244000826 <-> 244022677 (dist: 540 m, type: overtaking, CPA: 23 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 564045000 <-> 636017219 (dist: 2844 m, type: head-on, CPA: 1140 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 205233000 <-> 244730196 (dist: 5431 m, type: crossing, CPA: 4392 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 205096000 <-> 205275000 (dist: 4409 m, type: overtaking, CPA: 3740 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244660571 <-> 253242385 (dist: 3296 m, type: overtaking, CPA: 3218 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 205546090 <-> 244660571 (dist: 2213 m, type: head-on, CPA: 302 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 232026149 <-> 232064480 (dist: 4544 m, type: crossing, CPA: 4003 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 232015629 <-> 232026149 (dist: 3292 m, type: head-on, CPA: 581 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 211116660 <-> 538010231 (dist: 82 m, type: overtaking, CPA: 82 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244070620 <-> 244870287 (dist: 2907 m, type: crossing, CPA: 2851 m)
